time,energy,energy_normalised
0.0,0.08711740920718136,1.0
0.010000000000000002,0.08594033270007354,0.9864886190048591
0.02000000000000001,0.08527207722134801,0.97881787345805
0.03000000000000002,0.0848556973031449,0.9740383475057472
0.04000000000000003,0.08459089360619307,0.9709987289110059
0.05000000000000004,0.08442133404746538,0.969052395103897
0.060000000000000046,0.08431247974799667,0.9678028825155481
0.07000000000000005,0.0842425195474539,0.9669998260291415
0.08000000000000006,0.08419753292226224,0.9664834352686601
0.09000000000000007,0.08416859771991604,0.9661512949696139
0.10000000000000007,0.0841499844997605,0.9659376382467506
0.11000000000000008,0.08413801056631415,0.9658001923153884
0.12000000000000009,0.08413030764433206,0.9657117723078126
0.1300000000000001,0.08412535235830672,0.9656548917592467
0.1400000000000001,0.08412216469438075,0.9656183013239367
0.1500000000000001,0.08412011416666436,0.9655947638044552
0.16000000000000011,0.08411879515586722,0.9655796231935355
0.17000000000000012,0.0841179467147019,0.9655698841393895
0.18000000000000013,0.08411740097285293,0.9655636196986316
0.19000000000000014,0.08411704994098276,0.965559590287365
0.20000000000000015,0.08411682415277848,0.9655569985183221
0.21000000000000016,0.08411667892390404,0.9655553314706474
0.22000000000000017,0.08411658551176782,0.9655542592149747
0.23000000000000018,0.08411652542846619,0.9655535695330595
0.24000000000000019,0.0841164867823409,0.9655531259233879
0.25000000000000017,0.08411646192460409,0.965552840587345
0.2600000000000002,0.08411644593557059,0.9655526570530361
0.2700000000000002,0.08411643565091485,0.9655525389979214
0.2800000000000002,0.08411642903536182,0.965552463059563
0.2900000000000002,0.08411642477982835,0.9655524142113074
0.3000000000000002,0.08411642204231777,0.9655523827880753
0.3100000000000002,0.08411642028125434,0.9655523625732474
0.32000000000000023,0.08411641914829229,0.9655523495682458
0.33000000000000024,0.08411641841936904,0.9655523412011093
0.34000000000000025,0.08411641795036105,0.9655523358174782
0.35000000000000026,0.08411641764856338,0.9655523323532147
0.36000000000000026,0.08411641745434047,0.9655523301237761
0.3700000000000003,0.08411641732933207,0.9655523286888344
0.3800000000000003,0.08411641724885853,0.9655523277650978
0.3900000000000003,0.08411641719704281,0.9655523271703176
0.4000000000000003,0.084116417163672,0.965552326787262
0.4100000000000003,0.08411641714217283,0.9655523265404781
0.4200000000000003,0.08411641712831663,0.9655523263814261
0.4300000000000003,0.08411641711938189,0.9655523262788663
0.44000000000000034,0.08411641711361617,0.9655523262126829
0.45000000000000034,0.08411641710989441,0.9655523261699618
0.46000000000000035,0.08411641710748598,0.965552326142316
0.47000000000000036,0.08411641710592782,0.9655523261244302
0.48000000000000037,0.08411641710491662,0.9655523261128228
0.4900000000000004,0.08411641710425842,0.9655523261052676
0.5000000000000003,0.08411641710382808,0.9655523261003278
