step,time,phase,load,energy,delta_energy,mass,mass_error,W_ext_step,W_ext_cumul,D_pred,D_inferred,snes_it,converged_reason
0,0.0,init,0.0,0.9999999999966603,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.001,ramp,0.1,1.0008919275425094,0.0008919275458491027,1.0001748557488859,0.00017485574888587152,1.766759632129605e-05,1.766759632129605e-05,1.5285774570994763e-06,-0.8742599495278067,2,4
2,0.002,ramp,0.2,1.0008851844106799,-6.74313182957853e-06,1.0001734928914834,0.00017349289148338443,7.507303994226913e-08,1.774266936123832e-05,3.917478160694297e-06,0.006818204869520799,1,4
3,0.003,ramp,0.3,1.001806171276229,0.0009209868655490894,1.0003471144064402,0.00034711440644019653,5.290371742641717e-05,7.064638678765548e-05,7.220134060156369e-06,-0.8680831481226722,2,4
4,0.004,ramp,0.4,1.0017971017517633,-9.06952446566578e-06,1.0003452439894167,0.0003452439894167103,2.936357723294446e-07,7.094002255998492e-05,1.1074862352087734e-05,0.009363160237995223,1,4
5,0.005,ramp,0.5,1.002748144621786,0.0009510428700227891,1.0005178577999416,0.0005178577999416234,8.800643160691324e-05,0.00015894645416689816,1.5471671068824304e-05,-0.8630364384158759,2,4
6,0.006,ramp,0.6,1.0027379436990633,-1.0200922722747308e-05,1.0005156911621815,0.0005156911621815308,6.526027824597839e-07,0.00015959905694935795,2.0336104288021364e-05,0.01085352550520709,1,4
7,0.007,ramp,0.7,1.0037194761513941,0.0009815324523307911,1.0006874110978208,0.0006874110978207781,0.00012297546425695687,0.0002825745212063148,2.5611807478376867e-05,-0.8585569880738342,2,4
8,0.008,ramp,0.8,1.0037088057955106,-1.0670355883535265e-05,1.0006850531909472,0.000685053190947249,1.1504819903716316e-06,0.00028372500319668643,3.1302667993915464e-05,0.011820837873906897,1,2
9,0.009000000000000001,ramp,0.9,1.004721050789669,0.0010122449941583067,1.0008559508498422,0.0008559508498422463,0.0001578110469701388,0.0004415360501668252,3.733317421867417e-05,-0.8544339471881679,2,4
10,0.010000000000000002,ramp,1.0,1.0047103725364177,-1.0678253251183989e-05,1.0008534667301026,0.0008534667301025589,1.786089531307447e-06,0.00044332213969813263,4.374283196241824e-05,0.012464342782491436,1,2
11,0.011000000000000003,ramp,1.1,1.0057534480023989,0.001043075465981147,1.0010235925807838,0.001023592580783772,0.0001925136078304902,0.0006358357475286228,5.0445229132965804e-05,-0.8505618581506568,2,4
12,0.012000000000000004,ramp,1.2,1.005743122858527,-1.0325143871892095e-05,1.0010210273769833,0.0010210273769832856,2.558377201270654e-06,0.0006383941247298935,5.750040465223917e-05,0.012883521073162749,1,2
13,0.013000000000000005,ramp,1.3,1.006817085739862,0.0010739628813349889,1.0011904195575245,0.0011904195575245247,0.00022708367927744275,0.0008654778040073363,6.481442868684464e-05,-0.8468792020575461,2,4
14,0.014000000000000005,ramp,1.4,1.0068074144140133,-9.671325848614742e-06,1.0011878065768163,0.0011878065768162749,3.466040439771135e-06,0.0008689438444471075,7.246096590606374e-05,0.013137366288385877,1,2
15,0.015000000000000006,ramp,1.5,1.0079122857357208,0.0011048713217074457,1.0013564957624201,0.0013564957624201401,0.0002615225567178344,0.0011304664011649419,8.034037099979251e-05,-0.8433487649896113,2,4
16,0.016000000000000007,ramp,1.6,1.0079035302606756,-8.755475045196803e-06,1.0013538607805081,0.0013538607805081426,4.507972991702563e-06,0.0011349743741566444,8.85362385460299e-05,0.013263448036899366,1,2
17,0.017000000000000008,ramp,1.7,1.0090393019678312,0.0011357717071556195,1.0015218717753993,0.0015218717753993083,0.0002958304362310454,0.0014308048103876898,9.694407985106167e-05,-0.839941270924574,2,4
18,0.01800000000000001,ramp,1.8,1.0090316993159187,-7.602651912463898e-06,1.001519235675971,0.001519235675971009,5.6835033663457136e-06,0.0014364883137540356,0.00010565534909005511,0.01328615527880961,1,2
19,0.01900000000000001,ramp,1.9,1.0101983443581075,0.0011666450421887742,1.0016865893364688,0.0016865893364688134,0.0003300079974873193,0.001766496311241355,0.00011456129037154527,-0.8366370447014548,2,4
20,0.02000000000000001,ramp,2.0,1.0101921121985313,-6.232159576180507e-06,1.001683969310139,0.001683969310138922,6.991735224761148e-06,0.001773488046466116,0.00012375985440038405,0.013223894800941655,1,2
21,0.02100000000000001,ramp,2.1,1.0113895894881453,0.0011974772896139463,1.0018506835353376,0.0018506835353375717,0.0003640559360037645,0.0021375439824698806,0.00013313842903869128,-0.8334213536101817,2,4
22,0.022000000000000013,ramp,2.2,1.0113849308174492,-4.6586706961004865e-06,1.0018480940036463,0.0018480940036462723,8.431792243557095e-06,0.0021459757747134376,0.00014280052178439255,0.013090462939657582,1,2
23,0.023000000000000013,ramp,2.3,1.0126131885882779,0.001228257770828689,1.0020141844065218,0.0020141844065217906,0.0003979749579943053,0.0025439507327077427,0.00015262996909739244,-0.8302828128343837,2,4
24,0.024000000000000014,ramp,2.4,1.0126102948940607,-2.8936942171320368e-06,1.0020116376527135,0.002011637652713505,1.0002814671792923e-05,0.0025539535473795357,0.00016273516026369265,0.01289650888892496,1,2
25,0.025000000000000015,ramp,2.5,1.0138692730800565,0.0012589781859957405,1.002177118035799,0.0021771180357990083,0.00043176577670641026,0.002985719324085946,0.00017299661777070554,-0.8272124092893302,2,4
26,0.026000000000000016,ramp,2.6,1.0138683265830422,-9.464970143202578e-07,1.002174624651518,0.0021746246515179646,1.1703956957082666e-05,0.0029974232810430286,0.0001835271066608076,0.012650453971402924,1,2
27,0.027000000000000017,ramp,2.7,1.0151579585563222,0.0012896319732800254,1.0023395073545827,0.0023395073545826595,0.0004654291098224597,0.003462852390865488,0.0001942040287068795,-0.8242028634575657,2,4
28,0.028000000000000018,ramp,2.8,1.0151591338502224,1.1752939002018792e-06,1.0023370765662347,0.0023370765662347193,1.3534386015261891e-05,0.00347638677688075,0.00020514413132495488,0.012359092115060012,1,2
