step,time,phase,load,energy,delta_energy,mass,mass_error,W_ext_step,W_ext_cumul,D_pred,D_inferred,snes_it,converged_reason
0,0.0,init,0.0,0.9999999999985447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.001,ramp,0.1,1.0001777556841143,0.00017775568556954724,1.000084616884976,8.46168849759632e-05,8.53048790544638e-06,8.53048790544638e-06,5.905895959557692e-08,-0.16922519766410085,1,2
2,0.002,ramp,0.2,1.000177231205266,-5.244788483516061e-07,1.0000843375843491,8.433758434911454e-05,3.428932026826138e-08,8.564777225714643e-06,1.668798346756641e-07,0.0005587681686198675,1,2
3,0.003,ramp,0.3,1.0003710757229074,0.0001938445176414838,1.0001684938779452,0.0001684938779451528,2.554071745683027e-05,3.410549468254491e-05,3.0533670655587736e-07,-0.16830380018465352,1,2
4,0.004,ramp,0.4,1.0003705040887363,-5.716341711092809e-07,1.000168139971699,0.00016813997169906614,1.3664686838374472e-07,3.4242141550928654e-05,4.684171698669261e-07,0.0007082810394930257,1,2
5,0.005,ramp,0.5,1.0005805401598893,0.00021003607115299694,1.0002519207936686,0.0002519207936686474,4.248352578848305e-05,7.672566733941171e-05,6.496224601099909e-07,-0.1675525453645139,1,2
6,0.006,ramp,0.6,1.000580100771874,-4.393880153052976e-07,1.0002515482349181,0.00025154823491813083,3.06579038042929e-07,7.703224637745464e-05,8.492800841497696e-07,0.0007459670533482266,1,2
7,0.007,ramp,0.7,1.0008063409186148,0.00022624014674077486,1.000334993430611,0.00033499343061094145,5.93592340803065e-05,0.00013639148045776114,1.0623285332106645e-06,-0.16688091266046837,1,2
8,0.008,ramp,0.8,1.000806159898019,-1.8102059584634844e-07,1.0003346317367632,0.00033463173676318014,5.436583229206793e-07,0.00013693513878068183,1.2907029516022205e-06,0.0007246789187670277,1,2
9,0.009000000000000001,ramp,0.9,1.0010485859051705,0.00024242600715163043,1.0004177655743824,0.0004177655743824449,7.616824570770935e-05,0.00021310338448839118,1.529741003075281e-06,-0.16625776144392107,1,2
10,0.010000000000000002,ramp,1.0,1.001048767590067,1.8168489646086528e-07,1.0004174335863754,0.00041743358637535977,8.474438816674268e-07,0.0002139508283700586,1.7821741292588892e-06,0.0006657589852065615,1,2
11,0.011000000000000003,ramp,1.1,1.0013073467648816,0.00025857917481464376,1.0005002728946553,0.0005002728946552626,9.291095356122304e-05,0.0003068617819312816,2.043435683246978e-06,-0.1656682212534207,1,2
12,0.012000000000000004,ramp,1.2,1.0013079839397507,6.371748690892076e-07,1.0004999838835937,0.0004999838835937354,1.217514892278516e-06,0.00030807929682356015,2.3167635499634744e-06,0.0005803400231893085,1,2
13,0.013000000000000005,ramp,1.3,1.0015826755646917,0.0002746916249409814,1.00058254127792,0.0005825412779199013,0.00010958775373435964,0.00041766705055791976,2.5975755853065905e-06,-0.1651038712066218,1,2
14,0.014000000000000005,ramp,1.4,1.0015838539133963,1.1783487046113095e-06,1.0005823051699936,0.00058230516999358,1.6534556012146184e-06,0.0004193205061591344,2.8894756590894445e-06,0.0004751068966033089,1,2
15,0.015000000000000006,ramp,1.5,1.001874612359532,0.000290758446135575,1.0006645906092848,0.0006645906092848097,0.0001261990434549582,0.0005455195496140926,3.1878202970073015e-06,-0.16455940268061678,1,2
16,0.016000000000000007,ramp,1.6,1.0018764127713793,1.8004118473857744e-06,1.000664415137378,0.0006644151373780272,2.1548541559377715e-06,0.0005476744037700304,3.4964987410741297e-06,0.00035444230855199706,1,2
17,0.017000000000000008,ramp,1.7,1.00218318920656,0.0003067764351807334,1.00074643677865,0.0007464367786500503,0.00014274521990256353,0.0006904196236725939,3.810786635493932e-06,-0.16403121527816986,1,2
18,0.01800000000000001,ramp,1.8,1.0021856890402827,2.499833722691136e-06,1.0007463281008904,0.0007463281008903699,2.7213267727627814e-06,0.0006931409504453566,4.134805611479371e-06,0.00022149305007164533,2,2
19,0.01900000000000001,ramp,1.9,1.0025084323406446,0.0003227433003618607,1.0008280927815274,0.0008280927815274008,0.00015922662786915787,0.0008523675783145145,4.46373984321713e-06,-0.16351667249270285,1,2
20,0.02000000000000001,ramp,2.0,1.0025117065659532,3.274225308658174e-06,1.0008280560563432,0.0008280560563431738,3.3524809626313943e-06,0.0008557200592771458,4.801918072570974e-06,7.825565397322022e-05,2,2
21,0.02100000000000001,ramp,2.1,1.0028503641743458,0.0003386576083925785,1.000909569683456,0.000909569683456013,0.00017564369238709564,0.0010313637516642415,5.14442935680428e-06,-0.16301391600548287,1,2
22,0.022000000000000013,ramp,2.2,1.00285448571859,4.121544244117814e-06,1.0009096092395524,0.0009096092395524114,4.047931603255125e-06,0.0010354116832674966,5.495779413901007e-06,-7.361264086268921e-05,1,2
23,0.023000000000000013,ramp,2.3,1.0032090038763184,0.0003545181577284673,1.0009908769566218,0.0009908769566218112,0.00019199673729497697,0.0012274084205624734,5.8509616738332786e-06,-0.16252142043349033,1,2
24,0.024000000000000014,ramp,2.4,1.0032140437283628,5.039852044363968e-06,1.0009909963456098,0.0009909963456098403,4.807293197950967e-06,0.0012322157137604245,6.214631753444659e-06,-0.00023255884641300151,1,2
