dt,L2_u,En_u,H1_u,L2_rho,Breg_rho
0.01,0.00014432388713876015,0.0008499415526668467,0.0010657922563959597,0.0010127654309280898,0.000507265157918509
0.005,3.627269160859673e-05,0.00021461128504821655,0.00026873636396155664,0.0002447710480411326,0.00012263598855336992
0.0025,9.172222138771681e-06,5.794292178200174e-05,7.157355899244871e-05,5.239469060716496e-05,2.629037526171685e-05
