K,h,dt,L2_u,En_u,H1_u,L2_rho,Breg_rho
8,0.125,1e-06,0.0016431976268450664,0.010483341514829728,0.012820668206678628,0.008895838743861469,0.0045205489111126455
16,0.0625,1e-06,0.0004162476266552161,0.0025477116196480584,0.0031598424427827735,0.0021977011719108296,0.0011180615163103175
32,0.03125,1e-06,0.00010445069944763149,0.0006313511235116607,0.0007862016468081721,0.0005475841890774454,0.0002785914540292992
